Latest: Time (s),Latest: Position (m),Latest: Triceps Potential (V),Latest: Chest Potential (V)
0.000333,,0.216674805,-0.300292969
0.000666,,0.221252441,-0.300292969
0.000999,,0.221252441,-0.300292969
0.001332,,0.216674805,-0.300292969
0.001665,,0.221252441,-0.300292969
0.001998,,0.211791992,-0.300292969
0.002331,,0.211791992,-0.300292969
0.002664,,0.216674805,-0.300292969
0.002997,,0.211791992,-0.300292969
0.00333,,0.216674805,-0.300292969
0.003663,,0.211791992,-0.300292969
0.003996,,0.211791992,-0.295410156
0.004329,,0.211791992,-0.295410156
0.004662,,0.211791992,-0.300292969
0.004995,,0.211791992,-0.295410156
0.005328,,0.216674805,-0.295410156
0.005661,,0.211791992,-0.295410156
0.005994,,0.216674805,-0.290527344
0.006327,,0.216674805,-0.295410156
0.00666,,0.211791992,-0.290527344
0.006993,,0.216674805,-0.290527344
0.007326,,0.216674805,-0.290527344
0.007659,,0.211791992,-0.290527344
0.007992,,0.211791992,-0.290527344
0.008325,,0.211791992,-0.285644531
0.008658,,0.211791992,-0.290527344
0.008991,,0.211791992,-0.290527344
0.009324,,0.20690918,-0.285644531
0.009657,,0.211791992,-0.285644531
0.00999,,0.20690918,-0.285644531
0.010323,,0.20690918,-0.285644531
0.010656,,0.20690918,-0.280761719
0.010989,,0.20690918,-0.285644531
0.011322,,0.20690918,-0.290527344
0.011655,,0.20690918,-0.285644531
0.011988,,0.20690918,-0.285644531
0.012321,,0.20690918,-0.290527344
0.012654,,0.20690918,-0.290527344
0.012987,,0.202026367,-0.290527344
0.01332,,0.20690918,-0.285644531
0.013653,,0.202026367,-0.290527344
0.013986,,0.202026367,-0.290527344
0.014319,,0.202026367,-0.290527344
0.014652,,0.197143555,-0.290527344
0.014985,,0.197143555,-0.290527344
0.015318,,0.197143555,-0.290527344
0.015651,,0.197143555,-0.285644531
0.015984,,0.197143555,-0.290527344
0.016317,,0.197143555,-0.290527344
0.01665,,0.197143555,-0.290527344
0.016983,,0.197143555,-0.290527344
0.017316,,0.197143555,-0.285644531
0.017649,,0.197143555,-0.285644531
0.017982,,0.197143555,-0.290527344
0.018315,,0.197143555,-0.290527344
0.018648,,0.197143555,-0.290527344
0.018981,,0.192260742,-0.295410156
0.019314,,0.202026367,-0.290527344
0.019647,,0.202026367,-0.290527344
0.01998,,0.202026367,-0.290527344
0.02,0.989043,,
0.020313,,0.197143555,-0.290527344
0.020646,,0.197143555,-0.290527344
0.020979,,0.197143555,-0.295410156
0.021312,,0.197143555,-0.290527344
0.021645,,0.192260742,-0.290527344
0.021978,,0.197143555,-0.290527344
0.022311,,0.192260742,-0.295410156
0.022644,,0.18737793,-0.295410156
0.022977,,0.197143555,-0.295410156
0.02331,,0.18737793,-0.295410156
0.023643,,0.192260742,-0.300292969
0.023976,,0.18737793,-0.295410156
0.024309,,0.18737793,-0.295410156
0.024642,,0.192260742,-0.295410156
0.024975,,0.18737793,-0.300292969
0.025308,,0.18737793,-0.295410156
0.025641,,0.18737793,-0.300292969
0.025974,,0.18737793,-0.295410156
0.026307,,0.18737793,-0.295410156
0.02664,,0.18737793,-0.295410156
0.026973,,0.182495117,-0.295410156
0.027306,,0.182495117,-0.295410156
0.027639,,0.182495117,-0.295410156
0.027972,,0.18737793,-0.295410156
0.028305,,0.182495117,-0.295410156
0.028638,,0.182495117,-0.290527344
0.028971,,0.182495117,-0.290527344
0.029304,,0.182495117,-0.295410156
0.029637,,0.182495117,-0.295410156
0.02997,,0.18737793,-0.295410156
0.030303,,0.182495117,-0.295410156
0.030636,,0.182495117,-0.295410156
0.030969,,0.182495117,-0.295410156
0.031302,,0.182495117,-0.295410156
0.031635,,0.177612305,-0.295410156
0.031968,,0.182495117,-0.295410156
0.032301,,0.177612305,-0.295410156
0.032634,,0.182495117,-0.295410156
0.032967,,0.173034668,-0.295410156
0.0333,,0.177612305,-0.295410156
0.033633,,0.173034668,-0.300292969
0.033966,,0.173034668,-0.300292969
0.034299,,0.177612305,-0.295410156
0.034632,,0.173034668,-0.295410156
0.034965,,0.168151855,-0.300292969
0.035298,,0.173034668,-0.300292969
0.035631,,0.173034668,-0.300292969
0.035964,,0.168151855,-0.300292969
0.036297,,0.173034668,-0.300292969
0.03663,,0.173034668,-0.300292969
0.036963,,0.168151855,-0.300292969
0.037296,,0.168151855,-0.300292969
0.037629,,0.168151855,-0.300292969
0.037962,,0.173034668,-0.300292969
0.038295,,0.168151855,-0.300292969
0.038628,,0.168151855,-0.300292969
0.038961,,0.173034668,-0.300292969
0.039294,,0.168151855,-0.300292969
0.039627,,0.168151855,-0.300292969
0.03996,,0.168151855,-0.300292969
0.04,0.98585,,
0.040293,,0.168151855,-0.300292969
0.040626,,0.168151855,-0.300292969
0.040959,,0.168151855,-0.305175781
0.041292,,0.168151855,-0.300292969
0.041625,,0.173034668,-0.300292969
0.041958,,0.168151855,-0.305175781
0.042291,,0.168151855,-0.305175781
0.042624,,0.168151855,-0.300292969
0.042957,,0.168151855,-0.300292969
0.04329,,0.168151855,-0.305175781
0.043623,,0.168151855,-0.305175781
0.043956,,0.168151855,-0.300292969
0.044289,,0.168151855,-0.300292969
0.044622,,0.168151855,-0.305175781
0.044955,,0.168151855,-0.305175781
0.045288,,0.163269043,-0.305175781
0.045621,,0.168151855,-0.300292969
0.045954,,0.163269043,-0.300292969
0.046287,,0.163269043,-0.305175781
0.04662,,0.163269043,-0.305175781
0.046953,,0.163269043,-0.305175781
0.047286,,0.163269043,-0.305175781
0.047619,,0.163269043,-0.300292969
0.047952,,0.163269043,-0.305175781
0.048285,,0.163269043,-0.305175781
0.048618,,0.163269043,-0.300292969
0.048951,,0.163269043,-0.300292969
0.049284,,0.163269043,-0.305175781
0.049617,,0.163269043,-0.305175781
0.04995,,0.163269043,-0.305175781
0.050283,,0.163269043,-0.305175781
0.050616,,0.163269043,-0.305175781
0.050949,,0.163269043,-0.305175781
0.051282,,0.163269043,-0.305175781
0.051615,,0.163269043,-0.305175781
0.051948,,0.163269043,-0.310058594
0.052281,,0.163269043,-0.305175781
0.052614,,0.163269043,-0.305175781
0.052947,,0.163269043,-0.310058594
0.05328,,0.163269043,-0.305175781
0.053613,,0.163269043,-0.314941406
0.053946,,0.15838623,-0.314941406
0.054279,,0.15838623,-0.310058594
0.054612,,0.15838623,-0.314941406
0.054945,,0.163269043,-0.314941406
0.055278,,0.15838623,-0.314941406
0.055611,,0.15838623,-0.314941406
0.055944,,0.15838623,-0.314941406
0.056277,,0.15838623,-0.319824219
0.05661,,0.15838623,-0.314941406
0.056943,,0.15838623,-0.314941406
0.057276,,0.15838623,-0.319824219
0.057609,,0.15838623,-0.319824219
0.057942,,0.15838623,-0.319824219
0.058275,,0.153503418,-0.314941406
0.058608,,0.15838623,-0.314941406
0.058941,,0.153503418,-0.314941406
0.059274,,0.153503418,-0.314941406
0.059607,,0.153503418,-0.314941406
0.05994,,0.153503418,-0.314941406
0.06,0.988939,,
0.060273,,0.153503418,-0.314941406
0.060606,,0.153503418,-0.310058594
0.060939,,0.15838623,-0.314941406
0.061272,,0.148620605,-0.310058594
0.061605,,0.153503418,-0.310058594
0.061938,,0.153503418,-0.310058594
0.062271,,0.153503418,-0.305175781
0.062604,,0.153503418,-0.310058594
0.062937,,0.148620605,-0.305175781
0.06327,,0.153503418,-0.310058594
0.063603,,0.148620605,-0.310058594
0.063936,,0.148620605,-0.305175781
0.064269,,0.148620605,-0.305175781
0.064602,,0.148620605,-0.305175781
0.064935,,0.148620605,-0.305175781
0.065268,,0.148620605,-0.310058594
0.065601,,0.148620605,-0.310058594
0.065934,,0.148620605,-0.310058594
0.066267,,0.148620605,-0.314941406
0.0666,,0.148620605,-0.314941406
0.066933,,0.148620605,-0.314941406
0.067266,,0.148620605,-0.314941406
0.067599,,0.148620605,-0.314941406
0.067932,,0.148620605,-0.314941406
0.068265,,0.148620605,-0.314941406
0.068598,,0.148620605,-0.319824219
0.068931,,0.148620605,-0.319824219
0.069264,,0.143737793,-0.319824219
0.069597,,0.148620605,-0.324401855
0.06993,,0.148620605,-0.324401855
0.070263,,0.148620605,-0.329284668
0.070596,,0.148620605,-0.329284668
0.070929,,0.143737793,-0.324401855
0.071262,,0.143737793,-0.329284668
0.071595,,0.143737793,-0.329284668
0.071928,,0.148620605,-0.329284668
0.072261,,0.148620605,-0.329284668
0.072594,,0.148620605,-0.329284668
0.072927,,0.148620605,-0.324401855
0.07326,,0.143737793,-0.324401855
0.073593,,0.148620605,-0.324401855
0.073926,,0.143737793,-0.329284668
0.074259,,0.143737793,-0.324401855
0.074592,,0.143737793,-0.319824219
0.074925,,0.143737793,-0.319824219
0.075258,,0.143737793,-0.319824219
0.075591,,0.143737793,-0.319824219
0.075924,,0.143737793,-0.319824219
0.076257,,0.143737793,-0.319824219
0.07659,,0.143737793,-0.319824219
0.076923,,0.143737793,-0.314941406
0.077256,,0.143737793,-0.314941406
0.077589,,0.143737793,-0.314941406
0.077922,,0.13885498,-0.314941406
0.078255,,0.143737793,-0.314941406
0.078588,,0.143737793,-0.314941406
0.078921,,0.13885498,-0.314941406
0.079254,,0.143737793,-0.319824219
0.079587,,0.143737793,-0.314941406
0.07992,,0.143737793,-0.314941406
0.08,0.98847,,
0.080253,,0.143737793,-0.319824219
0.080586,,0.143737793,-0.319824219
0.080919,,0.143737793,-0.319824219
0.081252,,0.143737793,-0.319824219
0.081585,,0.143737793,-0.319824219
0.081918,,0.143737793,-0.319824219
0.082251,,0.13885498,-0.324401855
0.082584,,0.143737793,-0.319824219
0.082917,,0.143737793,-0.324401855
0.08325,,0.13885498,-0.319824219
0.083583,,0.13885498,-0.324401855
0.083916,,0.13885498,-0.324401855
0.084249,,0.13885498,-0.319824219
0.084582,,0.143737793,-0.324401855
0.084915,,0.143737793,-0.319824219
0.085248,,0.143737793,-0.324401855
0.085581,,0.143737793,-0.319824219
0.085914,,0.143737793,-0.319824219
0.086247,,0.148620605,-0.324401855
0.08658,,0.148620605,-0.324401855
0.086913,,0.148620605,-0.324401855
0.087246,,0.143737793,-0.329284668
0.087579,,0.143737793,-0.324401855
0.087912,,0.143737793,-0.324401855
0.088245,,0.143737793,-0.324401855
0.088578,,0.143737793,-0.329284668
0.088911,,0.143737793,-0.324401855
0.089244,,0.143737793,-0.319824219
0.089577,,0.143737793,-0.319824219
0.08991,,0.148620605,-0.324401855
0.090243,,0.148620605,-0.319824219
0.090576,,0.153503418,-0.319824219
0.090909,,0.15838623,-0.319824219
0.091242,,0.153503418,-0.319824219
0.091575,,0.15838623,-0.319824219
0.091908,,0.153503418,-0.319824219
0.092241,,0.15838623,-0.314941406
0.092574,,0.148620605,-0.314941406
0.092907,,0.148620605,-0.314941406
0.09324,,0.153503418,-0.314941406
0.093573,,0.153503418,-0.310058594
0.093906,,0.153503418,-0.310058594
0.094239,,0.153503418,-0.310058594
0.094572,,0.148620605,-0.310058594
0.094905,,0.153503418,-0.310058594
0.095238,,0.153503418,-0.310058594
0.095571,,0.153503418,-0.310058594
0.095904,,0.15838623,-0.314941406
0.096237,,0.15838623,-0.310058594
0.09657,,0.15838623,-0.310058594
0.096903,,0.153503418,-0.314941406
0.097236,,0.153503418,-0.314941406
0.097569,,0.153503418,-0.314941406
0.097902,,0.148620605,-0.314941406
0.098235,,0.15838623,-0.314941406
0.098568,,0.163269043,-0.319824219
0.098901,,0.163269043,-0.319824219
0.099234,,0.163269043,-0.319824219
0.099567,,0.168151855,-0.319824219
0.0999,,0.168151855,-0.319824219
0.1,0.988436,,
0.100233,,0.173034668,-0.319824219
0.100566,,0.173034668,-0.324401855
0.100899,,0.173034668,-0.324401855
0.101232,,0.182495117,-0.324401855
0.101565,,0.182495117,-0.324401855
0.101898,,0.177612305,-0.329284668
0.102231,,0.182495117,-0.329284668
0.102564,,0.182495117,-0.324401855
0.102897,,0.177612305,-0.324401855
0.10323,,0.173034668,-0.324401855
0.103563,,0.173034668,-0.324401855
0.103896,,0.173034668,-0.324401855
0.104229,,0.177612305,-0.319824219
0.104562,,0.177612305,-0.324401855
0.104895,,0.173034668,-0.319824219
0.105228,,0.168151855,-0.319824219
0.105561,,0.173034668,-0.319824219
0.105894,,0.173034668,-0.319824219
0.106227,,0.168151855,-0.319824219
0.10656,,0.168151855,-0.319824219
0.106893,,0.168151855,-0.319824219
0.107226,,0.168151855,-0.319824219
0.107559,,0.168151855,-0.319824219
0.107892,,0.168151855,-0.319824219
0.108225,,0.168151855,-0.319824219
0.108558,,0.168151855,-0.319824219
0.108891,,0.163269043,-0.319824219
0.109224,,0.168151855,-0.319824219
0.109557,,0.163269043,-0.319824219
0.10989,,0.168151855,-0.319824219
0.110223,,0.168151855,-0.319824219
0.110556,,0.163269043,-0.319824219
0.110889,,0.163269043,-0.319824219
0.111222,,0.163269043,-0.319824219
0.111555,,0.163269043,-0.319824219
0.111888,,0.168151855,-0.324401855
0.112221,,0.168151855,-0.324401855
0.112554,,0.168151855,-0.324401855
0.112887,,0.168151855,-0.324401855
0.11322,,0.163269043,-0.324401855
0.113553,,0.163269043,-0.324401855
0.113886,,0.168151855,-0.324401855
0.114219,,0.168151855,-0.329284668
0.114552,,0.168151855,-0.329284668
0.114885,,0.168151855,-0.329284668
0.115218,,0.168151855,-0.329284668
0.115551,,0.173034668,-0.329284668
0.115884,,0.173034668,-0.324401855
0.116217,,0.173034668,-0.324401855
0.11655,,0.173034668,-0.324401855
0.116883,,0.177612305,-0.324401855
0.117216,,0.177612305,-0.319824219
0.117549,,0.173034668,-0.319824219
0.117882,,0.177612305,-0.319824219
0.118215,,0.182495117,-0.319824219
0.118548,,0.182495117,-0.319824219
0.118881,,0.182495117,-0.319824219
0.119214,,0.182495117,-0.319824219
0.119547,,0.18737793,-0.319824219
0.11988,,0.18737793,-0.314941406
0.12,0.988956,,
0.120213,,0.18737793,-0.314941406
0.120546,,0.182495117,-0.314941406
0.120879,,0.182495117,-0.314941406
0.121212,,0.182495117,-0.310058594
0.121545,,0.18737793,-0.310058594
0.121878,,0.182495117,-0.310058594
0.122211,,0.182495117,-0.310058594
0.122544,,0.182495117,-0.305175781
0.122877,,0.182495117,-0.305175781
0.12321,,0.182495117,-0.310058594
0.123543,,0.182495117,-0.314941406
0.123876,,0.182495117,-0.310058594
0.124209,,0.182495117,-0.314941406
0.124542,,0.182495117,-0.310058594
0.124875,,0.18737793,-0.310058594
0.125208,,0.182495117,-0.314941406
0.125541,,0.182495117,-0.310058594
0.125874,,0.18737793,-0.310058594
0.126207,,0.182495117,-0.310058594
0.12654,,0.182495117,-0.310058594
0.126873,,0.182495117,-0.314941406
0.127206,,0.182495117,-0.310058594
0.127539,,0.182495117,-0.310058594
0.127872,,0.182495117,-0.310058594
0.128205,,0.18737793,-0.310058594
0.128538,,0.18737793,-0.314941406
0.128871,,0.18737793,-0.314941406
0.129204,,0.18737793,-0.314941406
0.129537,,0.192260742,-0.314941406
0.12987,,0.18737793,-0.314941406
0.130203,,0.18737793,-0.314941406
0.130536,,0.18737793,-0.314941406
0.130869,,0.18737793,-0.314941406
0.131202,,0.192260742,-0.314941406
0.131535,,0.18737793,-0.314941406
0.131868,,0.18737793,-0.314941406
0.132201,,0.192260742,-0.314941406
0.132534,,0.18737793,-0.310058594
0.132867,,0.18737793,-0.310058594
0.1332,,0.192260742,-0.314941406
0.133533,,0.197143555,-0.314941406
0.133866,,0.202026367,-0.314941406
0.134199,,0.20690918,-0.314941406
0.134532,,0.20690918,-0.310058594
0.134865,,0.20690918,-0.310058594
0.135198,,0.20690918,-0.310058594
0.135531,,0.20690918,-0.314941406
0.135864,,0.20690918,-0.314941406
0.136197,,0.20690918,-0.314941406
0.13653,,0.20690918,-0.314941406
0.136863,,0.20690918,-0.314941406
0.137196,,0.211791992,-0.314941406
0.137529,,0.211791992,-0.314941406
